symbol,quantity,avg_price
ADANIPOWER,500,60.0
ASIANPAINT,10,2825.0
GAIL,50,202.0
HDFCBANK,150,791.0
HUDCO,100,43.0
INFY,20,1520.0
IOC,500,119.34
IRCON,100,46.0
IRFC,100,25.0
LATENTVIEW,100,522.0
NHPC,100,31.0
NTPC,20,368.0
ONGC,108,149.0
POWERGRID,20,292.0
RVNL,100,36.0
RELIANCE,26,1188.0
SBIN,200,525.0
SUZLON,1300,7.0
TATACONSUM,10,1049.0
TMCV,50,232.0
TMPV,25,279.0
TATATECH,50,1246.0
TCS,100,3147.0
TITAN,10,3473.0
BLS,0,0.0
PIDILITIND,0,0.0
ZYDUSLIFE,0,0.0
CIPLA,0,0.0
BHARTIARTL,0,0.0
ICICIBANK,0,0.0
SETFGOLD,3100,46.0
