Symbol,CompanyName,Sector,Industry,MarketCapCr,CapCategory
20MICRONS,20 Microns Limited,Basic Materials,Other Industrial Metals & Mining,739.0,Small Cap
21STCENMGM,Twentyfirst Century Management Services Limited,Financial Services,Capital Markets,47.0,Small Cap
360ONE,360 One Wam Limited,Financial Services,Asset Management,48562.0,Mid Cap
3BBLACKBIO,3B Blackbio Dx Limited,Healthcare,Biotechnology,,Unknown
3IINFOLTD,3i Infotech Limited,Technology,Information Technology Services,506.0,Small Cap
3MINDIA,3M India Limited,Industrials,Conglomerates,37738.0,Mid Cap
3PLAND,3P Land Holdings Ltd,Unknown,Unknown,,Unknown
5PAISA,5paisa Capital Limited,Financial Services,Capital Markets,1777.0,Small Cap
63MOONS,63 moons technologies limited,Technology,Software - Application,3612.0,Small Cap
A2ZINFRA,A2Z Infra Engineering Limited,Industrials,Engineering & Construction,286.0,Small Cap
AAATECH,AAA Technologies Limited,Technology,Information Technology Services,119.0,Small Cap
AADHARHFC,,Financial Services,Mortgage Finance,20858.0,Mid Cap
AAKASH,Aakash Exploration Services Limited,Energy,Oil & Gas Equipment & Services,89.0,Small Cap
AARNAV,Aarnav Fashions Limited,,,,Unknown
AARON,Aaron Industries Limited,Industrials,Specialty Industrial Machinery,291.0,Small Cap
AARTIDRUGS,Aarti Drugs Limited,Healthcare,Drug Manufacturers - Specialty & Generic,3814.0,Small Cap
AARTIIND,Aarti Industries Limited,Basic Materials,Specialty Chemicals,19517.0,Mid Cap
AARTIPHARM,Aarti Pharmalabs Limited,Healthcare,Drug Manufacturers - Specialty & Generic,7625.0,Small Cap
AARTISURF,Aarti Surfactants Limited,Basic Materials,Specialty Chemicals,457.0,Small Cap
AARVI,Aarvi Encon Limited,Industrials,Staffing & Employment Services,221.0,Small Cap
AASTHA,Aastha Spintex Limited,Consumer Cyclical,Textile Manufacturing,,Unknown
AAVAS,Aavas Financiers Limited,Financial Services,Mortgage Finance,10419.0,Small Cap
ABB,ABB India Limited,Industrials,Specialty Industrial Machinery,160033.0,Large Cap
ABBOTINDIA,Abbott India Limited,Healthcare,Drug Manufacturers - Specialty & Generic,56151.0,Large Cap
ABCAPITAL,Aditya Birla Capital Limited,Financial Services,Financial Conglomerates,111329.0,Large Cap
ABCOTS,A B Cotspin India Limited,Consumer Cyclical,Textile Manufacturing,448.0,Small Cap
ABDL,Allied Blenders and Distillers Limited,Consumer Defensive,Beverages - Wineries & Distilleries,17753.0,Mid Cap
ABFRL,Aditya Birla Fashion and Retail Limited,Consumer Cyclical,Apparel Manufacturing,6560.0,Small Cap
ABINFRA,A B Infrabuild Limited,Industrials,Engineering & Construction,786.0,Small Cap
ABLBL,Aditya Birla Lifestyle Brands Limited,Consumer Cyclical,Apparel Retail,10340.0,Small Cap
ABMINTLLTD,ABM International Limited,Basic Materials,Specialty Chemicals,52.0,Small Cap
ABMKNO,ABM Knowledgeware Limited,Technology,Software - Application,,Unknown
ABREL,Aditya Birla Real Estate Limited,Real Estate,Real Estate Services,15536.0,Mid Cap
ABSLAMC,Aditya Birla Sun Life AMC Limited,Financial Services,Asset Management,28846.0,Mid Cap
ACC,ACC Limited,Basic Materials,Building Materials,24279.0,Mid Cap
ACCELYA,Accelya Solutions India Limited,Technology,Information Technology Services,1694.0,Small Cap
ACE,Action Construction Equipment Limited,Industrials,Farm & Heavy Construction Machinery,13757.0,Small Cap
ACEINTEG,Ace Integrated Solutions Limited,Industrials,Staffing & Employment Services,18.0,Small Cap
ACI,Archean Chemical Industries Limited,Basic Materials,Chemicals,6135.0,Small Cap
ACL,Andhra Cements Limited,Basic Materials,Building Materials,412.0,Small Cap
ACMESOLAR,,Utilities,Utilities - Renewable,28220.0,Mid Cap
ACSTECH,ACS Technologies Limited,Technology,Information Technology Services,,Unknown
ACUTAAS,Acutaas Chemicals Limited,Basic Materials,Specialty Chemicals,26608.0,Mid Cap
